municipio,provincia,municipio_nombre_humano,poblacion,superficie,densidad_poblacion
Aldeanueva de la Serrezuela,Segovia,Aldeanueva de la Serrezuela,42,20.3881,2.06002521078472
Aldeanueva de la Sierra,Salamanca,Aldeanueva de la Sierra,110,14.5052,7.58348730110581
Aldeanueva de la Vera,Cáceres,Aldeanueva de la Vera,2035,37.6017,54.1198935154528
Aldeanueva de San Bartolomé,Toledo,Aldeanueva de San Bartolomé,413,34.6067,11.934105245516
Aldeanueva de Santa Cruz,Ávila,Aldeanueva de Santa Cruz,113,8.4827,13.3212302686645
Aldeanueva del Camino,Cáceres,Aldeanueva del Camino,729,20.0536,36.3525750987354
Aldeanueva del Codonal,Segovia,Aldeanueva del Codonal,116,22.0867,5.25202950191744
Aldeaquemada,Jaén,Aldeaquemada,487,120.277,4.04898692185538
Aldearrodrigo,Salamanca,Aldearrodrigo,147,8.4148,17.4692208965157
Aldearrubia,Salamanca,Aldearrubia,519,32.8449,15.8015399651087
Aldeaseca,Ávila,Aldeaseca,219,24.2461,9.03238046531195
Aldeaseca de Alba,Salamanca,Aldeaseca de Alba,73,17.5789,4.15270580070425
Aldeaseca de la Frontera,Salamanca,Aldeaseca de la Frontera,253,24.2975,10.4125938882601
Aldeasoña,Segovia,Aldeasoña,62,18.6221,3.3293774601146
Aldeatejada,Salamanca,Aldeatejada,2307,31.42,73.4245703373647
Aldeavieja de Tormes,Salamanca,Aldeavieja de Tormes,100,12.8500,7.78210116731518
Aldehorno,Segovia,Aldehorno,52,11.9214,4.36190380324459
Aldehuela (La),Ávila,La Aldehuela,147,17.1494,8.57172845697226
Aldehuela de Jerte,Cáceres,Aldehuela de Jerte,372,11.7586,31.6364193016175
Aldehuela de la Bóveda,Salamanca,Aldehuela de la Bóveda,279,70.6497,3.94906135482529
Aldehuela de Liestos,Zaragoza,Aldehuela de Liestos,52,38.0379,1.367057592559
Aldehuela de Periáñez,Soria,Aldehuela de Periáñez,33,27.3818,1.20518008312091
Aldehuela de Yeltes,Salamanca,Aldehuela de Yeltes,193,60.4575,3.19232518711492
Aldehuela del Codonal,Segovia,Aldehuela del Codonal,24,13.42,1.78837555886736
Aldehuelas (Las),Soria,Las Aldehuelas,56,37.7899,1.48187743285904
Aldeire,Granada,Aldeire,623,70.0711,8.89096931545245
Aldeonte,Segovia,Aldeonte,56,20.5604,2.72368241862999
Aldover,Tarragona,Aldover,911,19.88,45.8249496981891
Aledo,Murcia,Aledo,1083,49.54,21.8611223253936
Alegia,Gipuzkoa,Alegia,1762,7.6843,229.298699946644
Alegría-Dulantzi,Álava,Alegría-Dulantzi,2925,19.9459,146.646679267418
Aleixar (L'),Tarragona,L' Aleixar,912,26.13,34.902411021814
Alella,Barcelona,Alella,9954,9.70,1026.18556701031
Alentisque,Soria,Alentisque,26,34.9666,0.743566717953704
Alerre,Huesca,Alerre,208,8.9419,23.2612755678323
Alesanco,La Rioja,Alesanco,500,17.1661,29.1271750717985
Alesón,La Rioja,Alesón,92,6.4919,14.171506030592
Alfacar,Granada,Alfacar,5497,16.7276,328.618570506229
Alfafar,Valencia,Alfafar,21415,10.0410,2132.75570162334
Alfafara,Alicante,Alfafara,408,19.7777,20.6292946095855
Alfajarín,Zaragoza,Alfajarín,2374,138.30,17.1655820679682
Alfambra,Teruel,Alfambra,483,122.4431,3.94468941083654
Alfamén,Zaragoza,Alfamén,1446,101.94,14.1848145968217
Alfántega,Huesca,Alfántega,133,8.7631,15.1772774474786
Alfara de Carles,Tarragona,Alfara de Carles,376,64.02,5.87316463605123
Alfara de la Baronia,Valencia,Alfara de la Baronia,590,11.7102,50.3834264145787
Alfara del Patriarca,Valencia,Alfara del Patriarca,3301,1.9806,1666.66666666667
Alfaraz de Sayago,Zamora,Alfaraz de Sayago,137,73.0193,1.87621628802248
Alfarnate,Málaga,Alfarnate,1057,34.00,31.0882352941176
Alfarnatejo,Málaga,Alfarnatejo,358,20.362,17.5817699636578
Alfaro,La Rioja,Alfaro,9562,194.1184,49.2585968151396
Alfarp,Valencia,Alfarp,1564,20.5780,76.0034988823015
